movie_id,index
278,0
238,1
240,2
424,3
389,4
129,5
19404,6
155,7
496243,8
497,9
680,10
372058,11
122,12
13,13
667257,14
769,15
429,16
346,17
12477,18
11216,19
637,20
1084736,21
157336,22
550,23
539,24
598,25
510,26
696374,27
120,28
311,29
372754,30
4935,31
324857,32
40096,33
121,34
14537,35
704264,36
724089,37
1891,38
255709,39
1058694,40
1160164,41
761053,42
423,43
378064,44
244786,45
807,46
27205,47
620249,48
569094,49
567,50
568332,51
274,52
73,53
128,54
12493,55
1139087,56
820067,57
15804,58
92321,59
105,60
207,61
10494,62
599,63
914,64
18491,65
101,66
644479,67
3782,68
3082,69
335,70
28,71
901,72
77338,73
1585,74
975,75
533514,76
637920,77
527641,78
632632,79
10376,80
29259,81
995133,82
652837,83
447362,84
630566,85
25237,86
8587,87
670,88
283566,89
42269,90
299534,91
299536,92
490132,93
508965,94
265177,95
572154,96
618344,97
110420,98
504253,99
315162,100
441130,101
24188,102
16869,103
857,104
603,105
98,106
635302,107
290098,108
694,109
354912,110
50014,111
16672,112
361743,113
37257,114
1124,115
284,116
11324,117
11,118
654299,119
324786,120
185,121
522924,122
610892,123
556574,124
476292,125
5156,126
490,127
313106,128
797,129
629,130
68718,131
26451,132
77,133
592350,134
92060,135
20334,136
10098,137
620683,138
18148,139
537061,140
1026227,141
810693,142
81481,143
426,144
1422,145
111,146
693134,147
872,148
289,149
20941,150
489,151
422,152
851644,153
1398,154
348,155
606856,156
475557,157
517814,158
399106,159
133919,160
791373,161
575813,162
103,163
37165,164
614,165
406997,166
398818,167
600,168
458220,169
470044,170
20914,171
55823,172
508442,173
19,174
500,175
600354,176
518068,177
9702,178
100,179
935,180
280,181
531428,182
762975,183
843,184
996,185
38288,186
411088,187
663558,188
666,189
838240,190
46738,191
655,192
664767,193
38,194
103663,195
20532,196
24382,197
11878,198
239,199
146233,200
705,201
12445,202
406,203
555604,204
532067,205
755812,206
149871,207
3780,208
439,209
872585,210
10681,211
2457,212
832,213
387,214
548,215
640344,216
7345,217
397567,218
550776,219
4348,220
831827,221
472454,222
21634,223
62,224
11659,225
359940,226
11645,227
522518,228
8392,229
992,230
334543,231
8422,232
437068,233
1091,234
381284,235
11423,236
785534,237
42229,238
7347,239
638507,240
120467,241
823754,242
538362,243
906126,244
1000492,245
800,246
310569,247
821,248
204,249
31439,250
147,251
400928,252
106646,253
1955,254
26022,255
582,256
279,257
9277,258
610461,259
515001,260
264644,261
12761,262
962232,263
43949,264
673,265
938,266
14,267
678580,268
641,269
895,270
521,271
347688,272
740937,273
780,274
337404,275
55960,276
15,277
449176,278
28178,279
3175,280
526702,281
414419,282
110416,283
11778,284
307,285
678512,286
359724,287
339877,288
947,289
595,290
524,291
25376,292
11658,293
930094,294
205596,295
568160,296
429210,297
20453,298
140420,299
455661,300
962,301
530915,302
13223,303
1050035,304
19426,305
18438,306
7508,307
11104,308
424694,309
20530,310
28978,311
213,312
28422,313
488623,314
10515,315
1396,316
640,317
2517,318
14696,319
5801,320
862,321
3090,322
24,323
19542,324
76,325
447365,326
627,327
574074,328
554596,329
315465,330
12104,331
160885,332
634649,333
961,334
38360,335
38286,336
14160,337
615457,338
745,339
9764,340
70,341
916224,342
15244,343
29264,344
5925,345
329,346
1580,347
242828,348
237791,349
15383,350
158445,351
37797,352
10386,353
6977,354
679,355
149,356
10997,357
770,358
11712,359
1010581,360
76203,361
10404,362
10238,363
1059,364
197,365
81,366
78,367
3777,368
626332,369
426618,370
41050,371
20803,372
1578,373
776503,374
8290,375
296096,376
152532,377
11010,378
234,379
85,380
920394,381
9323,382
28971,383
615453,384
404378,385
122906,386
654,387
489412,388
142061,389
1092,390
775,391
1646,392
110,393
21334,394
10242,395
949,396
378108,397
829,398
491480,399
150540,400
49964,401
671,402
33,403
10674,404
360814,405
48035,406
405,407
194,408
505262,409
30017,410
334533,411
13398,412
482321,413
118340,414
597,415
7984,416
7857,417
550205,418
501929,419
455714,420
961323,421
313369,422
1402,423
827,424
60243,425
2011,426
698948,427
610150,428
20271,429
1892,430
752,431
503314,432
944401,433
726684,434
458302,435
223,436
548544,437
210577,438
20722,439
354857,440
316029,441
183011,442
714888,443
11036,444
17295,445
52629,446
14836,447
3083,448
665,449
522402,450
32085,451
667520,452
10728,453
3112,454
331482,455
522212,456
804,457
393,458
3034,459
23160,460
16,461
25538,462
29455,463
265195,464
369557,465
47796,466
662,467
31411,468
438695,469
381341,470
11293,471
1607,472
833,473
594634,474
31442,475
275,476
652722,477
552532,478
505192,479
613,480
180147,481
453,482
152601,483
582927,484
94047,485
235,486
785084,487
266856,488
573164,489
399174,490
25364,491
698508,492
16804,493
89,494
527774,495
430424,496
59440,497
581,498
632322,500
546554,501
435129,502
777,503
596,504
379170,505
2440,506
585,507
579245,508
1394,509
115,510
185789,511
11830,512
631,513
14574,514
5924,515
293299,516
968,517
391,518
198,519
24167,520
937746,521
3870,522
200727,523
9479,524
6075,525
712454,526
826,527
2721,528
303867,529
10191,530
783675,531
152742,532
11656,533
980489,534
398924,535
32480,536
805,537
323272,544
16859,540
2062,541
301,542
10775,543
263115,545
10774,546
593,547
508943,548
779047,549
677638,550
650031,551
83564,552
31011,553
12,554
530254,555
314365,556
33320,557
3078,558
25606,560
80,561
56231,562
113,563
502,564
52345,565
934,566
674,567
348892,568
523781,569
107,570
47931,571
4977,572
1018,573
393559,574
58129,575
29458,576
11953,577
71157,578
15859,579
10315,580
1675,581
22,582
554590,583
5915,584
49797,585
762,586
901563,587
419478,588
335578,589
10193,590
142,591
22843,592
136,593
22683,594
1280,595
11621,596
2118,597
359156,598
31056,599
367412,600
84892,601
9475,602
562,603
262,604
976893,605
581528,606
428493,607
149870,608
9421,609
1366,610
445030,611
277216,612
13042,613
11697,614
438631,615
11602,616
585511,617
531,618
16237,619
14069,620
887,621
113833,622
11049,623
545611,624
423612,625
49026,626
18079,627
5961,628
553,629
609242,630
169813,631
141,632
666277,633
760774,634
86837,635
5511,636
126319,637
11005,638
359784,639
24480,640
15916,641
117,642
843906,643
29845,644
792307,645
1480,646
165,647
144,648
882569,649
22596,650
6844,651
1700,652
583,653
380,654
587,655
705861,656
20126,657
12496,658
925,659
14756,660
13855,661
10229,662
1002185,663
336804,664
143,665
17483,666
1417,667
303,668
579974,669
273248,670
166428,671
873,672
937278,673
396535,674
12444,675
11902,676
317442,677
703,678
22504,679
269149,680
10227,681
382591,682
14282,683
374473,684
21135,685
27670,686
808,687
25253,688
12429,689
2108,690
45269,691
792,692
322,693
603692,694
211954,695
40662,696
25050,697
24657,698
492188,699
19026,700
10757,701
9552,702
938008,703
479718,704
177572,705
10020,706
525,707
843241,708
203217,709
49687,710
49046,711
12491,712
656563,713
12405,714
903,715
309,716
334,717
726759,718
123025,719
33602,720
15121,721
1626,722
696,723
613868,724
502033,725
486589,726
337960,727
30018,728
5528,729
9800,730
61979,731
413594,732
770254,733
96721,734
30588,735
15265,736
672,737
404,738
393729,739
11220,740
205,741
24428,742
16052,743
162,744
5544,745
451945,746
396,747
158,748
766507,749
840430,750
234200,751
597316,752
1040,753
688,754
216,755
13187,756
297222,757
9806,758
272,759
28162,760
980,761
506574,762
40619,763
963,764
242582,765
1908,766
1633,767
602063,768
221732,769
4480,770
81401,771
3114,772
137182,773
20139,774
556984,775
539517,776
336,777
23832,778
632,779
369299,780
352173,781
9023,782
51608,783
499,784
375794,785
713776,786
83666,787
11299,788
30959,789
767,790
776305,791
20123,792
773,793
653,794
587272,795
44214,796
11787,797
4808,798
803700,800
508439,801
244063,802
238628,803
744114,804
167581,805
27040,806
14811,807
993,808
801335,809
13830,810
2493,811
573699,812
8016,813
446159,814
22881,815
675,816
288,817
533535,818
336808,819
1075,820
965150,821
522627,822
12516,823
534780,824
990,825
851,826
11898,827
672322,828
508933,829
82702,830
15251,831
5910,832
724495,833
68,834
1632,835
414906,836
3763,837
1587,838
575452,839
845,840
13151,841
891,842
49992,843
11474,844
8416,845
164,846
966220,847
1022789,848
2433,849
567410,850
30020,851
11362,852
578,853
8358,854
1904,855
869626,856
435366,857
100402,858
227932,859
371645,860
1592,861
218,862
13929,863
614917,864
144288,865
838209,866
51739,867
496450,868
502356,869
13466,870
12548,871
247,872
537116,873
12219,874
581577,875
16306,876
812,877
108,878
426426,879
871,880
342470,881
50531,882
25188,883
583083,884
471707,885
15794,886
4347,887
728118,888
573171,889
1726,890
177945,891
261,892
627725,893
110160,894
99,895
976573,896
580175,897
37247,898
498249,899
74308,900
19101,901
1027014,902
4995,903
24160,904
9343,905
4497,906
14438,907
9912,908
212,909
513434,910
28580,911
207703,912
14580,913
381289,914
221731,915
13363,916
10633,917
313297,918
995,919
637649,920
11482,921
804095,922
514439,923
29154,924
13386,925
10637,926
746,927
55,928
38251,929
14813,930
11657,931
1678,932
841755,933
320007,934
8832,935
4495,936
137113,937
21191,938
12093,939
1939,940
419430,941
225745,942
293660,943
981,944
76600,945
793,946
702,947
283995,948
20875,949
25768,950
10322,951
643,952
642,953
795514,954
9444,955
976,956
14624,957
10331,958
466282,959
228205,960
1933,961
768744,962
585244,963
76341,964
11171,965
4235,966
589739,967
9693,968
20992,969
11321,970
756999,971
624932,972
309809,973
